"Sol.Rad..W.sq.m._sum_growing_season","Sol.Rad..W.sq.m._mean_daily_sums","Year","NA_count_hourly_daylight","Growing_Start_DOY","Growing_Stop_DOY","Growing_length","mean_TMIN_C","mean_TMAX_C"
964893,6892.09285714286,1992,1,145,284,139,14.5028571428571,32.3535714285714
894740,6727.36842105263,1993,7,150,282,132,13.6383458646617,31.2360902255639
1008011,7579.03007518797,1994,0,142,274,132,13.7218045112782,32.8443609022556
930295,6644.96428571429,1995,0,148,287,139,13.865,31.575
959451,7213.91729323308,1996,0,154,286,132,14.2345864661654,33.2255639097744
1026574,7332.67142857143,1997,0,138,277,139,15.0121428571429,32.0442857142857
906118,6812.91729323308,1998,0,158,290,132,14.3300751879699,31.1947368421053
1028980,6999.86394557823,1999,0,136,282,146,13.4176870748299,31.3278911564626
981220,6674.96598639456,2000,41,135,281,146,14.1748299319728,31.6632653061224
919233,6911.52631578947,2001,0,147,279,132,14.4142857142857,32.8857142857143
975361,6966.86428571429,2002,0,139,278,139,13.8328571428571,32.3414285714286
927216,6971.54887218045,2003,0,152,284,132,14.6278195488722,32.6383458646617
954805,7178.98496240602,2004,0,144,276,132,13.9383458646617,31.7421052631579
895154,6730.48120300752,2005,0,142,274,132,14.2473684210526,32.0075187969925
871368,6915.61904761905,2006,0,155,280,125,14.6071428571429,32.4666666666667
972543,6946.73571428571,2007,0,140,279,139,14.1628571428571,31.47
1010978,6877.40136054422,2008,0,139,285,146,14.0360544217687,31.7755102040816
953879,7172.02255639098,2009,0,144,276,132,14.315037593985,31.2315789473684
968969,6591.62585034014,2010,3,150,296,146,13.8462585034014,29.8469387755102
1000513,6496.83766233766,2011,0,142,295,153,13.8766233766234,29.225974025974
1011498,6568.16883116883,2012,0,141,294,153,13.5987012987013,30.9090909090909
1017248,6605.50649350649,2013,0,139,292,153,13.9512987012987,30.0720779220779
954479,6493.05442176871,2014,0,145,291,146,14.8639455782313,31.7537414965986
1020280,6940.68027210884,2015,0,137,283,146,14.9986394557823,31.7047619047619
