"year","state_name","state_alpha","yield_lb_ac","EMERGED","HEADED","HARVESTED"
"1992","CALIFORNIA","CA",8500,1992-05-24,1992-08-16,1992-10-04
"1993","CALIFORNIA","CA",8300,1993-06-06,1993-08-15,1993-10-10
"1994","CALIFORNIA","CA",8500,1994-05-29,1994-08-14,1994-10-02
"1995","CALIFORNIA","CA",7600,1995-06-04,1995-08-20,1995-10-15
"1996","CALIFORNIA","CA",7490,1996-06-02,1996-08-11,1996-10-06
"1997","CALIFORNIA","CA",8250,1997-05-18,1997-08-03,1997-09-28
"1998","CALIFORNIA","CA",6850,1998-06-07,1998-08-23,1998-10-11
"1999","CALIFORNIA","CA",7270,1999-05-23,1999-08-22,1999-10-10
"2000","CALIFORNIA","CA",7940,2000-05-21,2000-08-13,2000-10-08
"2001","CALIFORNIA","CA",8170,2001-05-27,2001-08-12,2001-09-30
"2002","CALIFORNIA","CA",8140,2002-05-19,2002-08-11,2002-09-29
"2003","CALIFORNIA","CA",7700,2003-06-01,2003-08-17,2003-10-05
"2004","CALIFORNIA","CA",8600,2004-05-23,2004-08-08,2004-09-26
"2005","CALIFORNIA","CA",7380,2005-05-29,2005-08-14,2005-10-02
"2006","CALIFORNIA","CA",7660,2006-06-11,2006-08-13,2006-10-08
"2007","CALIFORNIA","CA",8200,2007-05-20,2007-08-12,2007-09-30
"2008","CALIFORNIA","CA",8320,2008-05-18,2008-08-10,2008-10-05
"2009","CALIFORNIA","CA",8600,2009-05-24,2009-08-09,2009-09-27
"2010","CALIFORNIA","CA",8020,2010-06-06,2010-08-29,2010-10-24
"2011","CALIFORNIA","CA",8350,2011-05-29,2011-08-28,2011-10-23
"2012","CALIFORNIA","CA",8150,2012-05-27,2012-08-12,2012-10-21
"2013","CALIFORNIA","CA",8480,2013-05-19,2013-08-04,2013-09-29
"2014","CALIFORNIA","CA",8580,2014-05-25,2014-08-03,2014-10-12
"2015","CALIFORNIA","CA",8890,2015-05-17,2015-08-02,2015-10-04
"2016","CALIFORNIA","CA",8840,2016-05-29,2016-08-07,2016-10-09
